T+8,T+0,T-1_T-4_DIFF_MEAN,T-9_T-12_DIFF_MEAN,T-1_T-4_DIFF_DIFF_MEAN,T-1_T-4_MEAN,T-5_T-8_MEAN,T-9_T-12_MEAN,POPULATION,RAIN_2_MAX,RAIN_2_MEAN,RAIN_4_MAX,RAIN_4_MEAN,RAIN_5_MAX,RAIN_5_MEAN,RAIN_6_MAX,RAIN_6_MEAN,RAIN_7_MAX,RAIN_7_MEAN,RAIN_8_MAX,RAIN_8_MEAN,RAIN_9_MAX,RAIN_9_MEAN,RAIN_10_MAX,RAIN_10_MEAN,RAIN_11_MAX,RAIN_11_MEAN,TEMP_2_-4_-7_MIN,TEMP_2_-4_-7_MEAN,TEMP_2_-8_-12_MIN,TEMP_2_-8_-12_MEAN,TEMP_3_-4_-7_MIN,TEMP_3_-4_-7_MEAN,TEMP_3_-8_-12_MIN,TEMP_3_-8_-12_MEAN,TEMP_4_-4_-7_MIN,TEMP_4_-4_-7_MEAN,TEMP_4_-8_-12_MIN,TEMP_4_-8_-12_MEAN
-0.108419839,-0.116493656,0.004998078,-3.84E-04,0.008073818,-0.138408305,-0.117358709,-0.124855825,-0.526847909,0.191865242,0.061421528,0.213788191,0.067872408,0.207048784,0.082984305,0.214803453,0.074068359,0.240517431,0.073540656,0.216855098,0.072257137,0.220267929,0.072720538,0.221297684,0.071381903,0.217428307,0.071671226,-0.294605809,-0.175829876,-0.385892116,-0.23900415,-0.180711492,-0.073610038,-0.160754918,-0.073065265,-0.179262433,-0.072164505,-0.15869897,-0.072275457
-0.108419839,-0.14532872,0.006920415,-0.008458285,0.010380623,-0.132064591,-0.117647059,-0.127739331,-0.521664902,0.238290879,0.108360723,0.26790143,0.120396021,0.351474846,0.140237173,0.290328807,0.127713223,0.27048896,0.124955249,0.292073551,0.125924556,0.293318643,0.127182114,0.284815316,0.124682273,0.293961681,0.125607434,-0.195020747,-0.15093361,-0.385892116,-0.241908714,-0.180711492,-0.056844258,-0.160754918,-0.041264848,-0.179262433,-0.057181022,-0.15869897,-0.040357366
-0.107266436,-0.14071511,7.69E-04,0.007304883,-0.024798155,-0.134083045,-0.126297578,-0.124567474,-0.516481895,0.340591619,0.184264585,0.373093768,0.201348214,0.447800248,0.231590004,0.393418898,0.211131286,0.405750303,0.215189252,0.402088696,0.212309818,0.403038635,0.213550793,0.399277048,0.211269488,0.405505821,0.212961294,-0.195020747,-0.16026971,-0.385892116,-0.237344398,-0.110217572,0.002724594,-0.180711492,-0.045256163,-0.111920291,8.67E-04,-0.179262433,-0.044470058
-0.085351788,-0.106113033,-0.00461361,0.009996155,-0.002883507,-0.132352941,-0.138119954,-0.118512111,-0.511298888,0.340591619,0.16967954,0.373093768,0.190781489,0.447800248,0.253251192,0.393418898,0.208205423,0.405750303,0.207467449,0.402088696,0.21212708,0.403038635,0.212343126,0.399277048,0.208265458,0.405505821,0.213925159,-0.2593361,-0.180497926,-0.294605809,-0.195850623,-0.110217572,0.060771653,-0.180711492,-0.033664891,-0.111920291,0.058479854,-0.179262433,-0.032200457
-0.099192618,-0.111880046,0.003460208,0.004998078,0.031718571,-0.12716263,-0.138408305,-0.117358709,-0.506115881,0.340591619,0.158586689,0.373093768,0.187958419,0.447800248,0.269619261,0.393418898,0.209932347,0.405750303,0.209317368,0.402088696,0.216229007,0.403038635,0.216747656,0.399277048,0.211283449,0.405505821,0.219090777,-0.2593361,-0.156120332,-0.294605809,-0.192531121,-0.062422034,0.072720538,-0.180711492,-0.073188713,-0.060312095,0.071381903,-0.179262433,-0.071727983
-0.051903114,-0.126874279,0.011149558,-0.013071895,-0.005190311,-0.126009227,-0.132064591,-0.117647059,-0.500932874,0.340591619,0.100554643,0.373093768,0.114301356,0.447800248,0.165269282,0.393418898,0.128998353,0.405750303,0.13509917,0.402088696,0.133217303,0.403038635,0.132541499,0.399277048,0.130682662,0.405505821,0.134669457,-0.2593361,-0.141597511,-0.294605809,-0.17966805,-0.062422034,0.127182114,-0.180711492,-0.043793563,-0.060312095,0.124682273,-0.179262433,-0.043408837
-0.026528258,-0.099192618,0.00461361,-0.01230296,-0.024798155,-0.121395617,-0.134083045,-0.126297578,-0.495749867,0.133525062,0.018898932,0.171521292,0.02981373,0.293693537,0.076942334,0.203100001,0.043600468,0.209630219,0.04588202,0.216124145,0.046399696,0.21543726,0.045613352,0.209281564,0.043600273,0.221283765,0.047386856,-0.2593361,-0.132780083,-0.195020747,-0.148962656,-0.062422034,0.213550793,-0.180711492,-0.033962623,-0.060312095,0.211269488,-0.179262433,-0.035159181
-0.039215686,-0.088811995,0.002306805,-0.007304883,0.016724337,-0.111014994,-0.132352941,-0.138119954,-0.49056686,0.013968776,-0.019926048,0.035143264,-0.014497916,0.094492457,0.007772602,0.051827361,-0.00660474,0.048881705,-0.005554365,0.05481827,-0.007148642,0.055326046,-0.007360647,0.050947493,-0.008435462,0.056375417,-0.007405226,-0.136929461,-0.096473029,-0.2593361,-0.180082988,-0.062422034,0.212343126,-0.110217572,0.046233261,-0.060312095,0.208265458,-0.111920291,0.044952843
-0.048442907,-0.108419839,0.00768935,0.004998078,0.012687428,-0.106689735,-0.12716263,-0.138408305,-0.485383642,0.225143796,0.055875103,0.188749934,0.047860271,0.146028256,0.047902562,0.18123422,0.050483395,0.196396994,0.055694886,0.176263817,0.048259904,0.171985952,0.04683682,0.179685305,0.048545898,0.172693738,0.046865248,-0.136929461,-0.09906639,-0.2593361,-0.150207469,-0.044803914,0.216747656,-0.110217572,0.036132916,-0.048240133,0.211283449,-0.111920291,0.034721464
-0.056516724,-0.108419839,0.00615148,0.006920415,-0.023644753,-0.105824683,-0.126009227,-0.132064591,-0.480200635,0.225143796,0.068097782,0.188749934,0.071533164,0.146028256,0.085649367,0.18123422,0.077493048,0.196396994,0.074335649,0.176263817,0.074905596,0.171985952,0.075006059,0.179685305,0.073675621,0.172693738,0.074024682,-0.114107884,-0.046680498,-0.2593361,-0.152282158,-0.044803914,0.132541499,-0.062422034,0.116840159,-0.048240133,0.130682662,-0.060312095,0.114068586
